id,taxonomy,kingdom,phylum,class,order,family,genus
OTU1,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10033,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10039,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Echria,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Lasiosphaeriaceae, g__Echria
OTU10046,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Ophiostomatales; f__Ophiostomataceae; g__Ceratocystiopsis,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Ophiostomatales, f__Ophiostomataceae, g__Ceratocystiopsis
OTU1005,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__unidentified, f__unidentified, g__unidentified
OTU10052,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__unidentified,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Tremellales_fam_Incertae_sedis, g__unidentified
OTU1006,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Tuberaceae; g__Tuber,k__Fungi, p__Ascomycota, c__Pezizomycetes, o__Pezizales, f__Tuberaceae, g__Tuber
OTU10065,k__unidentified; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__unidentified, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10066,k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__unidentified; g__unidentified,k__Fungi, p__Zygomycota, c__Mortierellomycotina_cls_Incertae_sedis, o__Mortierellales, f__unidentified, g__unidentified
OTU1007,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10070,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1008,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Diademaceae; g__Comoclathris,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__Diademaceae, g__Comoclathris
OTU10080,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__Aspergillus
OTU10081,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thielavia,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Thielavia
OTU10086,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__unidentified, g__unidentified
OTU10087,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__unidentified, g__unidentified
OTU10089,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thielavia,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Thielavia
OTU10098,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thielavia,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Thielavia
OTU10099,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU101,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1010,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__unidentified, g__unidentified
OTU10102,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1011,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Omphalotaceae; g__Gymnopus,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Omphalotaceae, g__Gymnopus
OTU10112,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Chaetomium
OTU10118,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1012,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__unidentified, g__unidentified
OTU10121,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10127,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10129,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__unidentified, f__unidentified, g__unidentified
OTU10132,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__unidentified, g__unidentified
OTU1014,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1015,k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__Exobasidiomycetidae_ord_Incertae_sedis; f__Exobasidiomycetidae_fam_Incertae_sedis; g__Tilletiopsis,k__Fungi, p__Basidiomycota, c__Exobasidiomycetes, o__Exobasidiomycetidae_ord_Incertae_sedis, f__Exobasidiomycetidae_fam_Incertae_sedis, g__Tilletiopsis
OTU10150,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreales_fam_Incertae_sedis, g__Acremonium
OTU10166,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1017,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Onygenaceae; g__Ophidiomyces,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Onygenales, f__Onygenaceae, g__Ophidiomyces
OTU10171,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10175,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thielavia,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Thielavia
OTU1018,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10180,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10181,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Chaetomium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Chaetomium
OTU1019,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU102,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Pezizomycetes, o__unidentified, f__unidentified, g__unidentified
OTU1020,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10207,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__unidentified,k__Fungi, p__Ascomycota, c__Pezizomycetes, o__Pezizales, f__Pyronemataceae, g__unidentified
OTU1021,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10211,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__unidentified,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Tremellales_fam_Incertae_sedis, g__unidentified
OTU10218,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1022,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Auriculariales_fam_Incertae_sedis; g__Heteroacanthella,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Auriculariales, f__Auriculariales_fam_Incertae_sedis, g__Heteroacanthella
OTU10222,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10226,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__unidentified,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__unidentified
OTU10232,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10234,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Humicola
OTU10235,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thielavia,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Thielavia
OTU1024,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10240,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10241,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10244,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10249,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreales_fam_Incertae_sedis, g__Acremonium
OTU1025,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10255,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__unidentified, g__unidentified
OTU1026,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10267,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thielavia,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Thielavia
OTU10268,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1027,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__unidentified, g__unidentified
OTU10271,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10273,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10274,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1028,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10281,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Diversisporales; f__Acaulosporaceae; g__Acaulospora,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Acaulospora
OTU10287,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10288,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10294,k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia,k__Fungi, p__Basidiomycota, c__Wallemiomycetes, o__Wallemiales, f__Wallemiaceae, g__Wallemia
OTU103,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Xylariales, f__unidentified, g__unidentified
OTU1030,k__Fungi; p__Zygomycota; c__Mucoromycotina_cls_Incertae_sedis; o__Mucorales; f__Saksenaeaceae; g__Saksenaea,k__Fungi, p__Zygomycota, c__Mucoromycotina_cls_Incertae_sedis, o__Mucorales, f__Saksenaeaceae, g__Saksenaea
OTU1031,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__unidentified, g__unidentified
OTU10313,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreales_fam_Incertae_sedis, g__Acremonium
OTU10315,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1032,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10323,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Hygrophoraceae, g__Hygrophorus
OTU1033,k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Melanotaeniaceae; g__Melanotaenium,k__Fungi, p__Basidiomycota, c__Ustilaginomycetes, o__Ustilaginales, f__Melanotaeniaceae, g__Melanotaenium
OTU10333,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__unidentified, f__unidentified, g__unidentified
OTU10334,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__unidentified,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__unidentified
OTU10337,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__unidentified, g__unidentified
OTU10338,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10339,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Psathyrellaceae, g__Coprinopsis
OTU1034,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pseudeurotiaceae; g__unidentified,k__Fungi, p__Ascomycota, c__Pezizomycotina_cls_Incertae_sedis, o__Pezizomycotina_ord_Incertae_sedis, f__Pseudeurotiaceae, g__unidentified
OTU10350,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10358,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__Talaromyces
OTU10367,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreales_fam_Incertae_sedis, g__Acremonium
OTU10368,k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Erythrobasidiales; f__Erythrobasidiales_fam_Incertae_sedis; g__Erythrobasidium,k__Fungi, p__Basidiomycota, c__Cystobasidiomycetes, o__Erythrobasidiales, f__Erythrobasidiales_fam_Incertae_sedis, g__Erythrobasidium
OTU1037,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10372,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__unidentified, f__unidentified, g__unidentified
OTU10378,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1038,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Chaetothyriales, f__Herpotrichiellaceae, g__unidentified
OTU10381,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10384,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__unidentified, g__unidentified
OTU10397,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10401,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Halosphaeriaceae; g__Corollospora,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Microascales, f__Halosphaeriaceae, g__Corollospora
OTU10403,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Chalastospora,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__Pleosporaceae, g__Chalastospora
OTU10405,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__unidentified
OTU10406,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thielavia,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Chaetomiaceae, g__Thielavia
OTU10408,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__unidentified, g__unidentified
OTU10409,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10416,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10418,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophlyctidales; f__Rhizophlyctidaceae; g__Rhizophlyctis,k__Fungi, p__Chytridiomycota, c__Chytridiomycetes, o__Rhizophlyctidales, f__Rhizophlyctidaceae, g__Rhizophlyctis
OTU1042,k__unidentified; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__unidentified, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10421,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10422,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetidae_ord_Incertae_sedis; f__Apiosporaceae; g__Arthrinium,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariomycetidae_ord_Incertae_sedis, f__Apiosporaceae, g__Arthrinium
OTU10423,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10426,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10429,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10434,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU10435,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__unidentified, g__unidentified
OTU10437,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
OTU1044,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__unidentified, f__unidentified, g__unidentified
OTU10445,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae; g__Chaetosphaeria,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Chaetosphaeriales, f__Chaetosphaeriaceae, g__Chaetosphaeria
OTU10452,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__Aspergillus
OTU10454,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__unidentified, g__unidentified
OTU10456,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified,k__Fungi, p__unidentified, c__unidentified, o__unidentified, f__unidentified, g__unidentified
